die Akademie, academy
der Akt, act
die Aktion, action
die Aktivität, activity
die Adresse, address
der Alkohol, alcohol
die Allianz, alliance
die Analyse, analysis
der Engel, angel
das Antibiotikum, antibiotic
der Architekt, architect
die Architektur, architecture
die Armee, army
der Artikel, article
der Aspekt, aspect
der Assistent, assistant
die Atmosphäre, atmosphere
der Autor, author
die Bakterie, bacterium
die Batterie, battery
das Bett, bed
die Bibel, bible
die Biologie, biology
der Bord, board
die Bombe, bomb
die Kamera, camera
der Kanal, canal
der Kandidat, candidate
das Kapital, capital
die Kassette, cassette
der Katalog, catalogue
die Katastrophe, catastrophe
die Kategorie, category
der Zentimeter, centimeter
der Charakter, character
der Chor, choir, chorus
die Zigarette, cigarette
die Klasse, class
die Klinik, clinic
die Koalition, coalition
der Kaffee, coffee
die Kombination, combination
die Kommission, commission
die Kommunikation, communication
die Kompetenz, competence
die Komponente, component
die Konzentration, concentration
die Konzeption, conception
das Konzert, concert
die Konferenz, conference
der Konflikt, conflict
der Kongress, congress
die Konsequenz, consequence
die Konstruktion, construction
der Kontakt, contact
der Kontext, context
der Kontinent, continent
die Kooperation, cooperation
die Kreativität, creativity
der Kredit, credit
die Kultur, culture
die Kurve, curve
die Debatte, debate
das Defizit, deficit
die Demokratie, democracy
die Diagnose, diagnosis
der Dialekt, dialect
der Dialog, dialogue
die Differenz, difference
das Diplom, diploma
der Direktor, director
die Disziplin, discipline
die Diskussion, discussion
die Distanz, distance
der Doktor, doctor
das Dokument, document
der Effekt, effect
das Elektron, electron
das Ende, end
die Energie, energy
die Epoche, epoch
die Existenz, existence
der Experte, expert
der Faktor, factor
die Fakultät, faculty
die Familie, family
die Phantasie, fantasy
die Figur, figure
der Fisch, fish
die Frequenz, frequency
der Freund, friend
die Funktion, function
die Galerie, gallery
der Garten, garden
die Geographie, geography
das Glas, glass
das Gramm, gram
das Gras, grass
der Horizont, horizon
das Haus, house
die Hypothese, hypothesis
die Idee, idea
die Identität, identity
das Immunsystem, immune system
der Impuls, impulse
das Individuum, individual
die Industrie, industry
die Infektion, infection
die Infrastruktur, infrastructure
das Institut, institute
die Intelligenz, intelligence
die Jacke, jacket
das Kilogramm, kilogram
das Knie, knee
die Lampe, lamp
die Liste, list
die Literatur, literature
die Maschine, machine
das Magazin, magazine
die Mama, mamma
der Mann, man
der Markt, market
die Masse, mass
die Mathematik, mathematics
die Medizin, medicine
das Metall, metal
die Methode, method
das Milligramm, milligram
das Ministerium, ministry
das Modell, model
das Motiv, motive
der Muskel, muscle
die Musik, music
der Mythos, myth
die Natur, nature
der Nerv, nerve
das Netz, net
das Netzwerk, network
die Nummer, number
das Objekt, object
der Ozean, ocean
der Offizier, officer
die Oper, opera
das Orchester, orchestra
der Organismus, organism
die Organisation, organization
das Parlament, parliament
der Passagier, passenger
die Periode, period
die Perspektive, perspective
das Phänomen, phenomenon
der Philosoph, philosopher
die Philosophie, philosophy
die Fotografie, photography
die Physik, physics
die Pistole, pistol
die Platte, plate
die Plattform, platform
die Polizei, police
die Politik, politics
der Posten, post
das Potenzial, potential
der Präsident, president
die Presse, press
der Prozess, process
das Produkt, product
die Produktion, production
das Profil, profile
die Prognose, prognosis
das Programm, program
das Projekt, project
die Provinz, province
das Publikum, public
die Qualifikation, qualification
die Qualität, quality
die Reaktion, reaction
die Realität, reality
die Rezession, recession
die Reflexion, reflection
die Republik, republic
die Ressource, resource
der Respekt, respect
das Resultat, result
der Skandal, scandal
die Szene, scene
der Sektor, sector
der Senat, senate
die Serie, series
der Soldat, soldier
die Solidarität, solidarity
der Sohn, son
der Spezialist, specialist
das Spektrum, spectrum
die Stabilität, stability
das Stadion, stadium
die Statistik, statistics
der Sturm, storm
die Strategie, strategy
die Struktur, structure
die Studie, study
die Substanz, substance
der Sommer, summer
die Tablette, pill
der Tee, tea
die Technik, technique
die Technologie, technology
das Telefon, telephone
die Temperatur, temperature
der Terrorismus, terrorism
die Theorie, theory
der Therapeut, therapist
die Therapie, therapy
der Tipp, tip
der Titel, title
der Tourismus, tourism
das Universum, universe
die Universität, university
die Variante, variant
das Volumen, volume
der Wille, will
das Werk, work